trial,ID,sex ,substrate_type,pauses_side,pauses_top,bipedal_quad_side,bipedal_quad_top,biped_combined,bipedal_side,bipedal_top,biped_tot,total_video_frames,bipedal_percent,no_start_from_standstill,stops_before_end_of_racetrack,calibration,side_amax,side_pmax,side_posmax,side_tmax,side_vmax,side_spline_tol,top_amax,top_pmax,top_posmax,top_tmax,top_vmax,top_spline_tol,peak_v,peak_v_cam
07.14.20_1333,B,F,SD,0,0,Q,B,B,,94,94,504,18.65079365,N,N,1417,40,28.567,0.6247,0.722,1.8698,4.43E-09,19.8443,45.0987,0.7146,0.326,2.5874,2.77E-09,2.5874,2
07.14.20_1407,A,M,SD,0,1,B,B,B,123,75,198,544,36.39705882,N,Y,1412,38,19.9156,0.5608,0.37,1.9391,4.43E-09,3.5158,6.3524,0.5511,0.59,1.8712,5.70E-09,1.9391,2
07.14.20_1444,D,M,SD,0,1,B,B,B,134,50,184,764,24.08376963,N,N,1412,35,25.5234,0.5954,0.462,1.6381,4.43E-09,21.8584,13.9093,0.7158,1.028,1.8266,5.70E-09,1.8266,2
07.14.20_1452,B,F,SD,0,0,Q,Q,Q,,,,,,N,N,1412,38,20.1474,0.6141,0.858,1.1785,4.43E-09,13.2166,13.3815,0.7172,0.478,1.9554,5.70E-09,1.9554,2
07.14.20_1511,C,F,SD,0,0,B,B,B,123,116,239,474,50.42194093,N,N,1412,26,24.6669,0.6322,0.502,2.0184,1.19E-08,6.9243,11.9943,0.7198,0.494,2.0226,5.70E-09,2.0226,2
07.14.20_1521,A,M,SD,0,0,B,B,B,24,49,73,560,13.03571429,N,N,1412,39,36.4655,0.5521,0.732,1.993,5.83E-09,7.9195,13.4585,0.7196,0.426,1.9887,4.30E-09,1.9887,2
07.14.20_1531,E,F,SD,0,1,B,Q,B,57,,57,679,8.394698085,N,N,1412,47,40.038,0.5266,0.658,1.6705,4.43E-09,19.7413,10.6677,0.7163,0.748,1.6736,5.70E-09,1.6736,2
07.14.20_1540,D,M,SD,0,0,B,B,B,50,10,60,625,9.6,N,Y,1412,23,15.9123,0.5992,0.69,1.6604,4.43E-09,14.1353,20.1026,0.6755,0.598,1.6199,3.50E-09,1.6604,1
07.14.20_1549,B,F,SD,0,0,Q,Q,Q,,,,,,N,N,1412,38,21.9648,0.6257,0.694,1.2956,5.73E-09,10.4166,10.5108,0.716,0.6,1.6203,5.70E-09,1.6203,2
07.14.20_1603,E,F,SD,0,0,Q,Q,Q,,,,,,N,Y,1411,38,19.112,0.5995,0.832,1.2934,6.33E-09,12.0728,6.0604,0.7169,0.94,1.2744,9.60E-09,1.2934,1
07.15.20_0942,E,F,SD,0,0,Q,B,B,,86,86,632,13.60759494,N,N,1407,29,19.2221,0.6541,0.64,1.6989,4.43E-09,36.1411,32.3562,0.7187,0.65,1.8684,3.70E-09,1.8684,2
07.15.20_1413,B,F,S,0,0,Q,Q,Q,,,,,,N,N,1433,19,10.744,0.6299,0.924,1.2057,5.43E-09,3.5329,3.7211,0.7076,0.658,1.1824,5.70E-09,1.2057,1
07.15.20_1430,A,M,S,0,0,B,Q,B,75,,75,502,14.94023904,N,N,1433,26,15.8714,0.6015,0.512,1.5762,4.43E-09,16.7847,24.3552,0.7083,0.572,1.881,5.70E-09,1.881,2
07.15.20_1445,D,M,S,0,1,Q,B,B,,84,84,575,14.60869565,N,N,1433,24,22.2981,0.6242,0.54,1.4644,4.43E-09,22.2147,15.3032,0.7063,0.66,1.8661,5.70E-09,1.8661,2
07.15.20_1454,B,F,S,0,0,Q,Q,Q,,,,,,N,N,1433,53,35.1274,0.6044,0.812,1.2748,5.63E-09,7.6794,9.5575,0.7074,0.574,1.8037,5.70E-09,1.8037,2
07.15.20_1534,C,F,S,0,0,B,B,B,113,118,231,677,34.1211226,N,Y,1433,50,21.9631,0.5711,0.458,1.5456,4.43E-09,11.4105,6.381,-6.79E-11,1.352,1.7182,5.70E-09,1.7182,2
07.15.20_1600,A,M,S,0,0,B,Q,B,132,,132,603,21.89054726,N,N,1433,48,32.6214,0.6346,0.43,1.8092,4.43E-09,29.1603,20.0185,0.7072,0.816,1.8181,5.70E-09,1.8181,2
07.15.20_1610,E,F,S,0,0,Q,Q,Q,,,,,,N,N,1433,34,20.9809,0.5456,0.632,1.9439,6.23E-09,22.3735,29.8148,0.7067,0.946,1.9756,5.70E-09,1.9756,2
07.16.20_1005,D,M,D,1,0,B,B,B,44,135,179,612,29.24836601,N,N,1461,27,17.6531,0.5491,0.78,1.4092,6.73E-09,10.2382,14.4734,0.6926,0.45,1.983,5.70E-09,1.983,2
07.16.20_1013,B,F,D,0,0,Q,Q,Q,,,,,,N,N,1461,29,21.2102,0.5535,0.498,1.4603,5.63E-09,12.5053,13.8512,0.6936,0.53,1.8046,5.70E-09,1.8046,2
07.16.20_1042,A,M,D,2,0,B,B,B,60,168,228,798,28.57142857,N,N,1461,37,23.3342,0.5685,1.192,1.7552,9.33E-09,6.5917,11.5173,0.6917,0.38,1.9855,2.28E-09,1.9855,2
07.16.20_1050,C,F,D,0,0,B,B,B,141,146,287,414,69.3236715,N,N,1461,22,19.5703,0.5275,0.468,1.8764,4.43E-09,7.8152,15.2442,0.6923,0.338,2.26,4.10E-09,2.26,2
07.16.20_1127,A,M,D,0,0,B,B,B,51,154,205,496,41.33064516,N,N,1461,18,29.7171,0.5859,0.65,1.7993,4.43E-09,6.6264,12.1261,0.6949,0.388,2.0506,5.70E-09,2.0506,2
07.16.20_1148,B,F,D,0,0,Q,Q,Q,,,,,,N,N,1461,36,15.4212,0.5219,0.526,1.6064,4.43E-09,7.9627,11.0026,0.6949,0.494,1.6569,5.70E-09,1.6569,2
07.16.20_1203,A,M,D,0,0,Q,B,B,,68,68,707,9.618104668,N,N,1461,23,14.3278,0.5052,0.816,1.19,5.73E-09,27.7989,33.0763,0.6931,0.78,1.7234,5.70E-09,1.7234,2
07.16.20_1210,C,F,D,0,0,B,B,B,97,72,169,372,45.43010753,N,N,1461,28,28.8802,0.4167,0.318,1.9624,2.92E-09,5.6726,9.8062,0.6932,0.456,1.9222,5.70E-09,1.9624,1
07.16.20_1419,E,F,D,0,1,Q,B,B,,34,34,648,5.24691358,N,N,1461,38,14.7676,0.4997,0.566,1.1747,4.43E-09,14.8594,16.0958,0.693,0.848,1.6632,5.70E-09,1.6632,2
07.16.20_1430,A,M,D,0,0,B,B,B,114,140,254,361,70.3601108,N,N,1461,44,33.0736,0.506,0.372,1.9275,3.43E-09,7.4607,13.6619,0.6948,0.384,1.962,3.60E-09,1.962,2
07.16.20_1617,C,F,S,0,0,B,B,B,144,75,219,376,58.24468085,N,N,1461,37,19.712,0.5394,0.4,1.754,4.43E-09,12.0078,19.9408,0.6921,0.398,1.8773,2.60E-09,1.8773,2
07.16.20_1624,E,F,S,1,0,Q,Q,Q,,,,,,N,N,1461,38,16.4001,0.5392,0.824,1.3121,5.33E-09,4.9655,5.6541,0.6933,0.54,1.4426,5.70E-09,1.4426,2
07.16.20_1658,E,F,D,1,0,Q,Q,Q,,63,63,844,7.464454976,N,N,1461,22,6.605,0.4794,1.158,1.4323,7.63E-09,18.9596,34.1781,0.694,0.516,2.0799,5.70E-09,2.0799,2
07.16.20_1735,E,F,D,0,1,Q,Q,Q,,,,,,N,N,1461,20,6.7885,0.4688,0.916,0.9645,6.43E-09,28.138,19.0166,0.6936,0.96,1.3713,1.97E-08,1.3713,2
07.23.20_1332,H,F,S,0,0,Q,Q,Q,,,,,,N,N,1445,34,23.7676,0.4821,0.454,1.3837,6.41E-09,21.3087,22.5688,0.6994,0.862,1.5747,5.70E-09,1.5747,2
07.23.20_1340,J,M,S,0,1,Q,Q,Q,,,,,,N,N,1445,23,22.082,0.5159,0.514,1.3816,4.43E-09,21.2614,24.2897,0.701,0.592,1.83,5.70E-09,1.83,2
07.23.20_1350,G,F,S,0,1,Q,Q,Q,,,,,,N,N,1445,31,22.3992,0.5775,0.606,1.2569,5.73E-09,21.1872,27.0997,0.7008,0.768,1.5719,5.70E-09,1.5719,2
07.23.20_1426,H,F,S,0,0,Q,Q,Q,,,,,,N,N,1445,13,8.4479,0.5059,0.672,1.091,4.43E-09,7.4668,9.8653,0.7012,0.578,1.5458,5.70E-09,1.5458,2
07.23.20_1440,G,F,S,0,0,Q,Q,Q,,,,,,N,N,1445,13,7.418,0.5085,0.724,1.1826,6.53E-09,5.9253,6.8993,0.7022,0.556,1.809,5.70E-09,1.809,2
07.23.20_1455,I,F,S,0,0,Q,Q,Q,,,,,,N,N,1445,47,16.9245,0.5246,0.516,1.2613,4.43E-09,10.2881,8.4626,0.7028,0.646,1.3748,5.70E-09,1.3748,2
07.23.20_1537,J,M,S,0,1,Q,B,B,,80,80,439,18.22323462,N,N,1445,27,15.9953,0.4959,0.404,1.566,4.43E-09,31.9389,25.4104,0.7004,0.55,2.1554,2.20E-09,2.1554,2
07.24.20_0952,H,F,D,0,0,Q,B,B,,101,101,630,16.03174603,N,N,1443,37,21.2312,0.4942,0.672,1.2346,5.53E-09,21.8444,13.2674,0.7025,0.658,1.6103,5.70E-09,1.6103,2
07.24.20_0959,I,F,D,0,0,Q,Q,Q,,,,,,N,N,1443,29,17.0549,0.4721,0.394,1.5814,3.33E-09,10.9207,13.6228,0.7034,0.568,1.7488,6.50E-09,1.7488,2
07.24.20_1006,G,F,D,0,0,B,B,B,132,165,297,381,77.95275591,N,N,1443,51,26.8292,0.5212,0.424,1.6531,4.43E-09,11.065,17.1738,0.7026,0.388,1.9554,4.70E-09,1.9554,2
07.24.20_1011,J,M,D,0,0,Q,Q,Q,,,,,,N,N,1443,12,12.0534,0.4636,0.456,1.5101,3.53E-09,21.8933,9.6914,0.7018,0.624,1.5868,5.70E-09,1.5868,2
